epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.10109,1.40762,2.47485,1.17102,0.76564,0.02738,0.2537,0.16398,1.28126,3.09096,1.05617,0.000653333,0.000653333,0.000653333
2,3.78372,1.38273,1.74792,1.22107,0.803,0.37057,0.49315,0.30265,1.47594,2.58955,1.16826,0.00129386,0.00129386,0.00129386
3,5.45643,1.42226,1.79657,1.24003,0.65077,0.55441,0.59665,0.38069,1.36102,1.83551,1.1741,0.00190799,0.00190799,0.00190799
4,7.12783,1.4416,1.78131,1.25332,0.75292,0.60442,0.66692,0.39315,1.4245,1.61584,1.20135,0.0018812,0.0018812,0.0018812
5,8.78742,1.39441,1.66028,1.20632,0.68446,0.60331,0.63749,0.39755,1.27595,1.59869,1.10902,0.0018416,0.0018416,0.0018416
6,10.4439,1.34078,1.50874,1.2025,0.68911,0.78772,0.79752,0.50487,1.22198,1.28274,1.08854,0.001802,0.001802,0.001802
7,12.1691,1.31399,1.40405,1.19008,0.85663,0.66116,0.77318,0.51128,1.25331,1.32917,1.09237,0.0017624,0.0017624,0.0017624
8,13.8112,1.29336,1.33084,1.18708,0.84235,0.71074,0.82556,0.54493,1.19913,1.44132,1.09185,0.0017228,0.0017228,0.0017228
9,15.4362,1.35414,1.31315,1.17331,0.90258,0.64463,0.80093,0.53985,1.1883,1.14609,1.03794,0.0016832,0.0016832,0.0016832
10,17.0541,1.31487,1.25718,1.16024,0.87774,0.68595,0.79691,0.49986,1.25779,1.15472,1.08426,0.0016436,0.0016436,0.0016436
11,18.652,1.26384,1.27881,1.15795,0.92651,0.66942,0.81337,0.53019,1.17433,1.01516,1.07521,0.001604,0.001604,0.001604
12,20.2832,1.24229,1.1887,1.17361,0.75925,0.77686,0.80244,0.53197,1.15806,0.98854,1.04706,0.0015644,0.0015644,0.0015644
13,21.8809,1.20321,1.13463,1.11226,0.8704,0.71901,0.8244,0.54527,1.14475,1.06612,1.04658,0.0015248,0.0015248,0.0015248
14,23.5016,1.24225,1.12185,1.13424,0.86083,0.75207,0.81962,0.57581,1.11343,0.98022,1.03425,0.0014852,0.0014852,0.0014852
15,25.1118,1.19985,1.12573,1.09721,0.78663,0.7686,0.814,0.5652,1.12416,0.94135,1.01765,0.0014456,0.0014456,0.0014456
16,26.7167,1.13746,1.07528,1.10215,0.91645,0.72525,0.82875,0.58647,1.109,0.91764,1.0209,0.001406,0.001406,0.001406
17,28.3286,1.15983,1.03144,1.11681,0.80661,0.82645,0.84898,0.6047,1.04632,0.91898,0.99375,0.0013664,0.0013664,0.0013664
18,29.9643,1.16489,1.06293,1.09558,0.88359,0.75275,0.85913,0.57942,1.14317,0.90022,1.04299,0.0013268,0.0013268,0.0013268
19,31.5839,1.18072,1.0168,1.12769,0.89479,0.71901,0.82732,0.58064,1.08209,0.90709,1.03752,0.0012872,0.0012872,0.0012872
20,33.2058,1.13681,0.96797,1.08663,0.90964,0.7488,0.85356,0.59119,1.13893,0.89501,1.01739,0.0012476,0.0012476,0.0012476
21,34.8223,1.10367,0.94851,1.07906,0.85839,0.75147,0.84229,0.59187,1.0841,0.88446,1.01805,0.001208,0.001208,0.001208
22,36.4308,1.05971,0.91846,1.06168,0.83571,0.79875,0.85209,0.61371,1.02496,0.93674,0.98141,0.0011684,0.0011684,0.0011684
23,38.068,1.11523,0.93348,1.07542,0.85073,0.80071,0.85654,0.60591,1.04672,0.88286,0.99542,0.0011288,0.0011288,0.0011288
24,39.6947,1.09341,0.91844,1.08484,0.83691,0.84824,0.87481,0.61083,1.05564,0.78856,0.98908,0.0010892,0.0010892,0.0010892
25,41.291,1.05055,0.86204,1.05368,0.91435,0.79403,0.88122,0.61716,1.05689,0.78676,0.99076,0.0010496,0.0010496,0.0010496
26,42.9041,1.06667,0.86288,1.06677,0.93324,0.80865,0.87921,0.63033,1.02602,0.76819,0.97434,0.00101,0.00101,0.00101
27,44.5736,1.0401,0.83677,1.04247,0.85698,0.82645,0.88252,0.6242,1.0416,0.76889,0.99292,0.0009704,0.0009704,0.0009704
28,46.2194,1.06694,0.85132,1.05419,0.80822,0.87076,0.87937,0.6187,1.05386,0.75078,0.99377,0.0009308,0.0009308,0.0009308
29,47.849,1.09165,0.87008,1.08629,0.86278,0.83144,0.86869,0.59959,1.06734,0.76431,0.98075,0.0008912,0.0008912,0.0008912
30,49.4734,1.09755,0.86748,1.07785,0.88167,0.84298,0.87582,0.61693,1.05746,0.80275,0.98488,0.0008516,0.0008516,0.0008516
31,51.1134,0.99434,0.8081,1.03431,0.87805,0.84298,0.87407,0.62822,1.02211,0.78246,0.98024,0.000812,0.000812,0.000812
32,52.7271,1.04931,0.848,1.04454,0.88394,0.84298,0.88895,0.63219,1.03914,0.75929,0.97784,0.0007724,0.0007724,0.0007724
33,54.3582,1.02114,0.78628,1.0286,0.86905,0.80992,0.87841,0.61688,1.04255,0.80376,0.99793,0.0007328,0.0007328,0.0007328
34,55.9671,0.9627,0.76479,1.01821,0.8791,0.84128,0.8835,0.62742,0.99806,0.73254,0.95143,0.0006932,0.0006932,0.0006932
35,57.6069,1.02952,0.78208,1.03982,0.88354,0.81513,0.89152,0.63721,1.00523,0.70427,0.96132,0.0006536,0.0006536,0.0006536
36,59.2418,0.95998,0.73731,1.00251,0.89586,0.82645,0.89079,0.64301,0.98666,0.71093,0.94243,0.000614,0.000614,0.000614
37,60.8778,0.96655,0.75437,1.03261,0.90154,0.84298,0.8947,0.6472,0.96862,0.68523,0.9355,0.0005744,0.0005744,0.0005744
38,62.5315,0.95961,0.7162,0.99641,0.86944,0.8595,0.90262,0.64727,0.98041,0.67997,0.94686,0.0005348,0.0005348,0.0005348
39,64.1667,0.89969,0.72898,0.99562,0.90062,0.83471,0.90577,0.65543,0.98028,0.67837,0.94849,0.0004952,0.0004952,0.0004952
40,65.7957,0.88783,0.68969,0.99603,0.93634,0.85091,0.89643,0.64953,0.97754,0.65326,0.94529,0.0004556,0.0004556,0.0004556
41,67.7626,0.8491,0.64789,0.97017,0.94464,0.85124,0.90223,0.66556,0.97059,0.64428,0.95065,0.000416,0.000416,0.000416
42,69.4052,0.8312,0.61933,0.92708,0.92919,0.83471,0.90536,0.6542,0.98936,0.65806,0.95901,0.0003764,0.0003764,0.0003764
43,71.0526,0.82724,0.61834,0.94772,0.90912,0.87603,0.89961,0.65127,0.97355,0.66041,0.95613,0.0003368,0.0003368,0.0003368
44,72.6934,0.84137,0.62397,0.95976,0.91478,0.8595,0.90401,0.65507,0.93755,0.64025,0.93958,0.0002972,0.0002972,0.0002972
45,74.3334,0.82072,0.60783,0.93259,0.91999,0.85124,0.90512,0.65652,0.95547,0.64307,0.95356,0.0002576,0.0002576,0.0002576
46,75.9446,0.80532,0.57938,0.931,0.89671,0.861,0.9027,0.65767,0.93837,0.62479,0.94771,0.000218,0.000218,0.000218
47,77.561,0.7915,0.5681,0.90644,0.91605,0.85124,0.89975,0.66615,0.93319,0.61782,0.93861,0.0001784,0.0001784,0.0001784
48,79.1952,0.7943,0.57976,0.92738,0.90829,0.85124,0.9032,0.66222,0.93392,0.6277,0.93711,0.0001388,0.0001388,0.0001388
49,80.8446,0.77867,0.58962,0.94032,0.91206,0.85711,0.90448,0.66776,0.93295,0.62189,0.93171,9.92e-05,9.92e-05,9.92e-05
50,82.5057,0.76474,0.56653,0.92821,0.91615,0.85124,0.90342,0.66869,0.93515,0.62967,0.93308,5.96e-05,5.96e-05,5.96e-05
